pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
se|audză-se|suspirele|ferecaților|se|dezleage seaudză-sesuspireleferecațilorsedezleage isimmmmmmsimmmmmmmsimmmmmmmmmsisimmmmmms
fiii|omorrîților|22|se|spuie|în|sion fiiiomorrîților22sespuieînsion immsimmmmmmmmmsisisimmmsisimms
numele|domnului|și numeledomnuluiși immmmsimmmmmmsis
lauda|lui|în|ierosalim laudaluiînierosalim immmsimsisimmmmmmms
23|cîndu|adura-se-vor|oamerii|psalmul 23cînduadura-se-voroameriipsalmul isimmmsimmmmmmmmmmsimmmmmsimmmmms
103|2|înveștiși-te|cu|lumea|ca 1032înveștiși-teculumeaca imscimmmmmmmmmmsisimmmsis
3|coperiși|cu 3coperișicu cimmmmmmsis
apă|pre|mai|susul apăpremaisusul imsimsimsimmms
lui|puse|nuorii|în|suirea luipusenuoriiînsuirea imsimmsimmmmsisimmmms
sa|îmblă|spre|arepile|vîntului|4 saîmblăsprearepilevîntului4 isimmmsimmsimmmmmsimmmmmmsc
focu|aprinsu|5 focuaprinsu5 immsimmmmmsc
urrdzi|pămîntul|spre|învîrtoșiarea urrdzipămîntulspreînvîrtoșiarea immmmsimmmmmmsimmsimmmmmmmmmmms
sa|nu|se|va|pleca sanusevapleca isisisisimmms
în|veacu|de|veacu|6|fără-fundu înveacudeveacu6fără-fundu isimmmsisimmmscimmmmmmmms
ca|cămeașea|înveșterea|ei|spre|codri|stau cacămeașeaînveștereaeisprecodristau isimmmmmmsimmmmmmmmsisimmsimmmsimms
ape|7|de ape7de imscis
apăratul|tău|fugi-vor|de apăratultăufugi-vorde immmmmmsimsimmmmmmsis
suie-se|ca|codrii|și|deștingu-se|cîmpii suie-secacodriișideștingu-secîmpii immmmmsisimmmmsisimmmmmmmmmsimmmms
în|loc|ce-ai|urdzitu|lor|9|hotară înlocce-aiurdzitulor9hotară isimsimmmsimmmmmsimscimmmms
puseși|ce|nu puseșicenu immmmsisis
trecu|nice|întorcu-se|se trecuniceîntorcu-sese immmsimmsimmmmmmmmsis
copere|pămîntul|10|tremiseși|izvoarră coperepămîntul10tremiseșiizvoarră immmmsimmmmmmsisimmmmmmmsimmmmmms
îmblate|prin|mijloc|de|codri|trecu îmblateprinmijlocdecodritrecu immmmmsimmsimmmmsisimmmsimmms
ape|11|adapă|toate|gadinele|satelor|aștaptă ape11adapătoategadinelesateloraștaptă imsisimmmsimmmsimmmmmmsimmmmmsimmmmms
onagrii|în|seatea onagriiînseatea immmmmsisimmmms
sa|12|spre|acealea sa12spreacealea isisimmsimmmmms
pasările|ceriului|petrecu|dim|mijloc pasărileceriuluipetrecudimmijloc immmmmmsimmmmmmsimmmmmsimsimmmms
codrii|de|pre|asupra|sa|de|rrodul codriidepreasuprasaderrodul immmmsisimsimmmmsisisimmmms
faptelor|tale|satură-se faptelortalesatură-se immmmmmsimmsimmmmmmms
pămîntul|14|ce|rrăsăriși pămîntul14cerrăsăriși immmmmmsisisimmmmmmms
pajiște|vitelor|și|iarbă|în pajiștevitelorșiiarbăîn immmmmsimmmmmsisimmmsis
slujba|oamerilor|se|scoți|pîre|dim slujbaoamerilorsescoțipîredim immmmsimmmmmmmsisimmmsimmsims
pămîntu|15|și|virul|veseliaște|înrima|omului pămîntu15șivirulveseliașteînrimaomului immmmmsisisimmmsimmmmmmmmsimmmmsimmmms
se|ungă|fața seungăfața isimmsimms
cu|untu|și|pîria cuuntușipîria isimmsisimmms
înrima|omului|întăreaște|16|satură-se înrimaomuluiîntăreaște16satură-se immmmsimmmmsimmmmmmmmsisimmmmmmms
rrăsăditu|17|acie|pasările|încuibură-se|a|lu rrăsăditu17aciepasărileîncuibură-sealu immmmmmmsisimmsimmmmmmsimmmmmmmmmmscis
erodiu|viiață|oblăduiaște erodiuviiațăoblăduiaște immmmsimmmmsimmmmmmmmms
pre-nșii|psalmul|104|42 pre-nșiipsalmul10442 immmmmmsimmmmmsimsis
ce-i|cătră|avram|șerbul|lui ce-icătrăavramșerbullui immsimmmsimmmsimmmmsims
43|și|scoase|săi|îm|bucurie 43șiscoasesăiîmbucurie isisimmmmsimsisimmmmms
și|aleșii|săi|în|44|și|ră șialeșiisăiîn44șiră isimmmmsimsisisisis
limbă|și|truda limbășitruda immmsisimmms
45|se|ferească|d 45sefereascăd isisimmmmmmsc
psalmul|105|1|veac|5 psalmul1051veac5 immmmmsimscimmsc
se|vedemu|în|dulciață|aleșii|tăi sevedemuîndulciațăaleșiităi isimmmmsisimmmmmmsimmmmsims
se|în|veselie|limba|ta|și|se seînveselielimbatașise isisimmmmmsimmmsisisis
laudămu|6|părinții laudămu6părinții immmmmscimmmmmms
noștri|fărăle|7|părinții noștrifărăle7părinții immmmsimmmmscimmmmmms
seră|ciude|e|mulți|psalmul serăciudeemulțipsalmul immsimmmscimmmsimmmmms
106|7|pre-nșii|în|cale|dereaptă 1067pre-nșiiîncaledereaptă imscimmmmmmsisimmsimmmmmms
se|între|în|cetate|iuo|vor|fi seîntreîncetateiuovorfi isimmmsisimmmmsimsimsis
ispovediască|domnului|mesereriei|lui ispovediascădomnuluimesererieilui immmmmmmmmmsimmmmmmsimmmmmmmmsims
9|că|săturată|iaste|sufletul|deșertu 9căsăturatăiastesufletuldeșertu cisimmmmmmsimmmsimmmmmmsimmmmms
și|sufletul|flămîndu|împlu-l|de|dulceață|10 șisufletulflămînduîmplu-ldedulceață10 isimmmmmmsimmmmmmsimmmmmsisimmmmmmsis
cei|ce|ședzură ceiceședzură imsisimmmmms
întru|înturearecu|și|în întruînturearecușiîn immmsimmmmmmmmmsisis
umbra|morției|ferecații|cu|meserătate umbramorțieiferecațiicumeserătate immmsimmmmmsimmmmmmmsisimmmmmmmms
și|cu|fierru|11|că|mîniară șicufierru11cămîniară isisimmmmsisisimmmmms
cuventele|domnului|și|sfatul|celuia|de|sus cuventeledomnuluișisfatulceluiadesus immmmmmmsimmmmmmsisimmmmsimmmmsisims
întărîtară|12|și întărîtară12și immmmmmmmsisis
plecă-se|întru|trudu|înrima plecă-seîntrutruduînrima immmmmmsimmmsimmmsimmmms
lor|nu|putură|și|nu lornuputurășinu imsisimmmmsisis
era|lor|agiutoriu|13|și|chiemară eraloragiutoriu13șichiemară imsimsimmmmmmmsisisimmmmmms
cătră|domnul|cîndu|tînjiia|și|de|nevoile cătrădomnulcîndutînjiiașidenevoile immmsimmmmsimmmsimmmmmsisisimmmmms
14|și-i|scoase|pre-nșii 14și-iscoasepre-nșii isimmsimmmmsimmmmmms
de-nturearecu|și|din|umbra|morției de-nturearecușidinumbramorției immmmmmmmmmmsisimsimmmsimmmmms
și|legături|lor|rrupără-se|15|se șilegăturilorrrupără-se15se isimmmmmmsimsimmmmmmmmsisis
se|ispovedească|domnului|mesererile|lui|și|mirurele seispovedeascădomnuluimesererileluișimirurele isimmmmmmmmmmsimmmmmmsimmmmmmmmsimsisimmmmmms
lui|fiilor|omerești luifiiloromerești imsimmmmsimmmmmms
16|că|frînse|ușile 16căfrînseușile isisimmmmsimmms
de|arame|și|verigile|de dearameșiverigilede isimmmsisimmmmmmsis
fieru|frînse|17|și|priimi|pre fierufrînse17șipriimipre immmsimmmmsisisimmmmsims
înși|de|calea|fărălegile|lor|dereptu|strîmbătățile înșidecaleafărălegilelordereptustrîmbătățile immsisimmmsimmmmmmmmsimsimmmmmsimmmmmmmmmmms
sale|plecară-se|18 saleplecară-se18 immsimmmmmmmmsis
de|toată|mîncarea|nădușia-se detoatămîncareanădușia-se isimmmsimmmmmmsimmmmmmmms
sufletul|lor|și|apropiară-se|pîră sufletullorșiapropiară-sepîră immmmmmsimsisimmmmmmmmmmsimms
20|tremise|cuvîntul|său 20tremisecuvîntulsău isimmmmmsimmmmmmsims
și|vendecă|pre-nși|și|izbăvi șivendecăpre-nșișiizbăvi isimmmmmsimmmmmsisimmmms
pre-nși|de|pagubele|lor|21|se pre-nșidepagubelelor21se immmmmsisimmmmmmsimsisis
se|ispovediască|domnului|mesereriei|lui|și|mirurea seispovediascădomnuluimesererieiluișimirurea isimmmmmmmmmmsimmmmmmsimmmmmmmmsimsisimmmmms
lui|feciorilor|oamerilor luifecioriloroamerilor imsimmmmmmmmsimmmmmmms
22|și|giunghiia-vor|lui 22șigiunghiia-vorlui isisimmmmmmmmmmmsims
cumîndare|de|laudă|și|se cumîndaredelaudășise immmmmmmsisimmmsisis
spuie|deala|lui|îm|bucurie|23 spuiedealaluiîmbucurie23 immmsimmmsimsisimmmmmsis
ce|giosu|mergea|îm|mare|în|corabie cegiosumergeaîmmareîncorabie isimmmsimmmmsisimmsisimmmmms
ce|făcea|faceri cefăceafaceri isimmmsimmmms
în|ape|multe|24 înapemulte24 isimsimmmsis
aceia|vădzură|lucrul|domnului|și aceiavădzurălucruldomnuluiși immmsimmmmmsimmmmsimmmmmmsis
mirurea|lui|întra|adîncatu|25|dzise mirurealuiîntraadîncatu25dzise immmmmsimsimmmsimmmmmmsisimmms
pîră|în|ceriu|și pîrăînceriuși immsisimmmsis
lor|în|rrîu|topia-se|27|turburară-se lorînrrîutopia-se27turburară-se imsisimmsimmmmmmsisimmmmmmmmmms
și|clă-|tiia-se|ca|beații|și|toată șiclă-tiia-secabeațiișitoată isimmsimmmmmsisimmmmsisimmms
înțelepciurea|lor|înghițită înțelepciurealorînghițită immmmmmmmmmmsimsimmmmmmms
fu|28|și|chiemară fu28șichiemară isisisimmmmmms
cătră|domnul|cîndu|tînjiră|și cătrădomnulcîndutînjirăși immmsimmmmsimmmsimmmmmsis
de|nevoile|lor|scoase|pre|înși denevoilelorscoasepreînși isimmmmmsimsimmmmsimsimms
29|și|dzise|burrăei|și|stătu|cetu 29șidziseburrăeișistătucetu isisimmmsimmmmmsisimmmsimms
și|tăcură|undele șităcurăundele isimmmmsimmmms
lui|30|și|veseliră-se lui30șiveseliră-se imsisisimmmmmmmmms
că|tăcură|și|derease-i|îm cătăcurășiderease-iîm isimmmmsisimmmmmmmsis
ispovediască|domnului|mesereriei|lui|și|mirurea|lui ispovediascădomnuluimesererieiluișimirurealui immmmmmmmmmsimmmmmmsimmmmmmmmsimsisimmmmmsims
fiilor|oamerilor|32 fiiloroamerilor32 immmmsimmmmmmmsis
se-l|rrădice|el|îm se-lrrădiceelîm immsimmmmmsisis
besearecă|omerească|și|spre|șederile besearecăomereascășispreșederile immmmmmmsimmmmmmmsisimmsimmmmmms
bătrîrilor|laudă|elu|33|pus-au|rrîure bătrîrilorlaudăelu33pus-aurrîure immmmmmmmsimmmsimsisimmmmsimmmms
îm|pustie|și|în|ieșitele|ape-|lor împustieșiînieșiteleape-lor isimmmmsisisimmmmmmsimmsims
în|seate|34 înseate34 isimmmsis
pămîntul|rroditoriu|în|slatină pămîntulrroditoriuînslatină immmmmmsimmmmmmmmsisimmmmms
de|rreale|ce|viia|spre derrealeceviiaspre isimmmmsisimmsimms
însu|35|pus-au|îm|pustie|în însu35pus-auîmpustieîn immsisimmmmsisimmmmsis
iazere|de|ape|și|pămîntul|fără|de iazeredeapeșipămîntulfărăde immmmsisimsisimmmmmmsimmsis
apă|în|ieșirea apăînieșirea imsisimmmmms
acie|flămîndzii|și|feaceră|cetăți acieflămîndziișifeacerăcetăți immsimmmmmmmmsisimmmmmsimmmms
în|debiu|37|și|sămărară|agro îndebiu37șisămărarăagro isimmmsisisimmmmmmsimms
și|rrăsădiră|vii|și|feaceră|plod|de șirrăsădirăviișifeacerăplodde isimmmmmmmsimsisimmmmmsimmsis
viiață|38|și viiață38și immmmsisis
înmulțiră-se|foarte|și|vitele|lor înmulțiră-sefoarteșivitelelor immmmmmmmmmsimmmmsisimmmmsims
nu|se|împuțînară|39|și|împuțînară-se nuseîmpuțînară39șiîmpuțînară-se isisimmmmmmmmsisisimmmmmmmmmmms
și|înrrăiră-se|de|grije|și|de|rreale șiînrrăiră-sedegrijeșiderreale isimmmmmmmmmsisimmmsisisimmmms
dureri|40|vărsă-se dureri40vărsă-se immmmsisimmmmmms
ocărrîre|spre|giudecii|lor ocărrîrespregiudeciilor immmmmmsimmsimmmmmmsims
și|săblăznire|lor|prin|netrecute șisăblăznirelorprinnetrecute isimmmmmmmmsimsimmsimmmmmmms
e|nu|pre|cale|41|și enuprecale41și cisimsimmsisis
agiută|mișelului|de|meserătate|și|puse|ca agiutămișeluluidemeserătateșipuseca immmmsimmmmmmmsisimmmmmmmmsisimmsis
oile|ocinele|42 oileocinele42 immsimmmmmsis
vădzură|derepții|și|veseliră-se vădzurăderepțiișiveseliră-se immmmmsimmmmmmsisimmmmmmmmms
și|toată|fărăleagea|îngrădeaște|rrostul șitoatăfărăleageaîngrădeașterrostul isimmmsimmmmmmmmsimmmmmmmmmsimmmmms
său|43|cire-i|preaînțeleptu|și|feri-va său43cire-ipreaînțeleptușiferi-va imsisimmmmsimmmmmmmmmmmsisimmmmms
ceastea|și|înțeleage-va|mesererile|domnului|cîntecul|lu ceasteașiînțeleage-vamesereriledomnuluicîntecullu immmmmsisimmmmmmmmmmsimmmmmmmmsimmmmmmsimmmmmmsis
davidu|slava|107 daviduslava107 immmmsimmmsims
1|gata|e|înrima 1gataeînrima cimmscimmmms
mea|cîntu|și|cîntu|slaveei|meale meacîntușicîntuslaveeimeale imsimmmsisimmmsimmmmmsimmms
2|scoală-te|slava|mea|colu-te|psăltire|și 2scoală-teslavameacolu-tepsăltireși cimmmmmmmsimmmsimsimmmmmsimmmmmmsis
ceateri|scolu-me|demîreața ceateriscolu-medemîreața immmmmsimmmmmmsimmmmmmms
3|și|ispovedescu-me|ție 3șiispovedescu-meție cisimmmmmmmmmmmmsims
în|oameri|doamne|cîntu|ție înoameridoamnecîntuție isimmmmsimmmmsimmmsims
întru|limbi|4|că|mare-i|spre întrulimbi4cămare-ispre immmsimmmscisimmmmsimms
ce-|riu|meserearea|ta|și|pîră|la ce-riumesereareatașipîrăla imsimsimmmmmmmmsisisimmsis
nuori|deadevărul|tău nuorideadevărultău immmsimmmmmmmmsims
5|rrădică-te|spre|ceriu 5rrădică-tespreceriu cimmmmmmmmsimmsimmms
dzăul|și|prespre|tot|pămîntul dzăulșiprespretotpămîntul immmsisimmmmmsimsimmmmmms
slava|ta|6|ca|se|se slavata6casese immmsiscisisis
izbăvească|iubiții|tăi|spăseaște|cu|dereapta|ta izbăveascăiubițiităispăseaștecudereaptata immmmmmmmsimmmmmsimsimmmmmmmsisimmmmmmsis
dzăul|grăi|întru|sfîntul dzăulgrăiîntrusfîntul immmsimmsimmmsimmmmms
său|rrădicu-mă|și|împarțu|sichimă săurrădicu-mășiîmparțusichimă imsimmmmmmmmsisimmmmmsimmmmms
mieu-i|galaadul|și|al|mieu-i|manasiia|și mieu-igalaadulșialmieu-imanasiiași immmmsimmmmmmsisisimmmmsimmmmmmsis
capului|mieu|și|iuda capuluimieușiiuda immmmmsimmsisimms
nedeajdea|mia|spre|idomeiu|tinșu|zgarbura nedeajdeamiaspreidomeiutinșuzgarbura immmmmmmsimsimmsimmmmmsimmmsimmmmmms
mea|mie|alții|streiri|plecară-se|10|cere meamiealțiistreiriplecară-se10cere imsimsimmmsimmmmmsimmmmmmmmsisimms
mă|va|băga măvabăga isisimms
în|cetate|de|stare încetatedestare isimmmmsisimmms
sau|cire|mă|va|derepta sauciremăvaderepta imsimmsisisimmmmms
în|vîrtutea|noastră învîrtuteanoastră isimmmmmmsimmmmms
12|dă|noao|agiutoriu 12dănoaoagiutoriu isisimmsimmmmmmms
de|grije|și|deșeartă|e degrijeșideșeartăe isimmmsisimmmmmmsc
spăseniia|omerească|13|întru|dumnedzău|facemu spăseniiaomerească13întrudumnedzăufacemu immmmmmmsimmmmmmmsisimmmsimmmmmmmsimmmms
vîrtutea|și|acela|ocărrî|dracii|noștri|cîntecul vîrtuteașiacelaocărrîdraciinoștricîntecul immmmmmsisimmmsimmmmsimmmmsimmmmsimmmmmms
lui|davidu|108 luidavidu108 imsimmmmsims
1|doamne|lauda|mea 1doamnelaudamea cimmmmsimmmsims
păcătosului|și|rrostul|menciurosului|spre|mere păcătosuluișirrostulmenciurosuluispremere immmmmmmmmsisimmmmmsimmmmmmmmmmmsimmsimms
3|și|cu 3șicu cisis
luptară|…|psalmul|110|1 luptară…psalmul1101 immmmmscimmmmmsimsc
ispovediscu-me|ție|doamne|cu|toată|înrima ispovediscu-mețiedoamnecutoatăînrima immmmmmmmmmmmsimsimmmmsisimmmsimmmms
2|mare|e 2maree cimmsc
lucrul|domnului|cerșiută|în lucruldomnuluicerșiutăîn immmmsimmmmmmsimmmmmmsis
toată|voile|lui|3|ispovedire toatăvoilelui3ispovedire immmsimmmsimscimmmmmmmms
și|mare|frîmseațe|lucrul|lui|și șimarefrîmseațelucrulluiși isimmsimmmmmmmsimmmmsimsis
dereptatea|lui|lăcuiaște|în|veacu|de|veacu dereptatealuilăcuiașteînveacudeveacu immmmmmmmsimsimmmmmmmsisimmmsisimmms
și|ieftinu|e|domnul|5 șiieftinuedomnul5 isimmmmmscimmmmsc
mîncare|dat-au|temuților|de-nsu|pomeneaște|în mîncaredat-autemuțilorde-nsupomeneașteîn immmmmsimmmmsimmmmmmmsimmmmsimmmmmmmmsis
veacu|leagea|sa|6|tăriia|lucrurelor|sale veaculeageasa6tăriialucrurelorsale immmsimmmmsiscimmmmsimmmmmmmmsimms
spure|oamerelor|săi spureoamerelorsăi immmsimmmmmmmsims
se|dea|lor|în sedealorîn isimsimsis
ocină|limbi|7|lucrurele|mîrulor ocinălimbi7lucrurelemîrulor immmsimmmscimmmmmmmsimmmmms
lui|deadevăr|e|și|giudețu|credincioase-su luideadevăreșigiudețucredincioase-su imsimmmmmmscisimmmmmsimmmmmmmmmmmmms
toate|dzisele|lui|8|învîrtoșia-|te|în toatedziselelui8învîrtoșia-teîn immmsimmmmmsimscimmmmmmmmmsisis
veacu|de|veac veacudeveac immmsisimms
fapte|în|deadevăr|și fapteîndeadevărși immmsisimmmmmmsis
în|dereptate|9|izbăvire|tremise îndereptate9izbăviretremise isimmmmmmmscimmmmmmsimmmmms
oamerilor|săi|porunci|în|veac|leagea oamerilorsăiporunciînveacleagea immmmmmmsimsimmmmmsisimmsimmmms
sa|sfîntu|e|și|fricosu|e|numele sasfîntueșifricosuenumele isimmmmscisimmmmmscimmmms
lui|10|începutul lui10începutul imsisimmmmmmms
înțelepciuriei|frica|domnului|e înțelepciurieifricadomnuluie immmmmmmmmmmmsimmmsimmmmmmsc
e|înțelepciure|bură|tuturor|ce eînțelepciureburătuturorce cimmmmmmmmmmsimmsimmmmmsis
o|facu|lauda|lui|lăcuiaște|în ofaculaudaluilăcuiașteîn cimmsimmmsimsimmmmmmmsis
de|bărbatul|cel debărbatulcel isimmmmmmsims
ce|se|teame|de ceseteamede isisimmmsis
domnul|și|îm|porîncita|lui domnulșiîmporîncitalui immmmsisisimmmmmmmsims
fi-va|sămînța|lui|rrodulu|derepților|blagoslovi-se-va|3 fi-vasămînțaluirroduluderepțilorblagoslovi-se-va3 immmsimmmmmsimsimmmmmsimmmmmmmmsimmmmmmmmmmmmmmsc
slavă|și|bogătate slavășibogătate immmsisimmmmmms
dereptatea|lui|lăcuiaște|în|veac dereptatealuilăcuiașteînveac immmmmmmmsimsimmmmmmmsisimms
de|veacu|4|lumiră|întru-nturearecu|cu deveacu4lumirăîntru-nturearecucu isimmmscimmmmsimmmmmmmmmmmmmmsis
lumiră|derepților|mesereare|și|miluire|și|dereptu lumirăderepțilormesereareșimiluireșidereptu immmmsimmmmmmmmsimmmmmmmsisimmmmmsisimmmmms
5|dulce|bărbatu 5dulcebărbatu cimmmsimmmmms
cuventele|sale|în|giudețu|6 cuventelesaleîngiudețu6 immmmmmmsimmsisimmmmmsc
că|în|veacu|nu|se|rrădică căînveacunuserrădică isisimmmsisisimmmmms
îm|pamente|de|veac|fi-va|dereptul|7 împamentedeveacfi-vadereptul7 isimmmmmsisimmsimmmsimmmmmmsc
de|audzire|rrea deaudzirerrea isimmmmmsimms
nu|se|teame|gata nuseteamegata isisimmmsimms
e|înrima|lui|se|nedejduiască eînrimaluisenedejduiască cimmmmsimsisimmmmmmmmmms
spre|domnul|8|învîrtoșe-se|înrima|lui spredomnul8învîrtoșe-seînrimalui immsimmmmscimmmmmmmmmmsimmmmsims
și|nu|se|teame|pîră|va|căuta șinuseteamepîrăvacăuta isisisimmmsimmsisimmms
spre|dracii|săi spredraciisăi immsimmmmsims
9|împărți|și|deade 9împărțișideade cimmmmmsisimmms
veac|de|veacu|cornul|lui|înrălță-se veacdeveacucornulluiînrălță-se immsisimmmsimmmmsimsimmmmmmmms
în|slavă|10|păcătosul|vădzu|și|mînie-se înslavă10păcătosulvădzușimînie-se isimmmsisimmmmmmmsimmmsisimmmmmms
cu|dinții|săi cudințiisăi isimmmmsims
scrîcică|și|topi-se-va|deșidiratul scrîcicășitopi-se-vadeșidiratul immmmmmsisimmmmmmmmsimmmmmmmmms
păcătosului|piare|slava|psalmul|112 păcătosuluipiareslavapsalmul112 immmmmmmmmsimmmsimmmsimmmmmsims
domnului|2|fie|numele|domnului|blagoslovitu|de domnului2fienumeledomnuluiblagoslovitude immmmmmscimsimmmmsimmmmmmsimmmmmmmmmmsis
acmu|pîră-n|veacu acmupîră-nveacu immsimmmmsimmms
soarelui|pîră|la|apusu|lăudatu soareluipîrălaapusulăudatu immmmmmsimmsisimmmsimmmmms
e|numele|domnului|4|înraltu|e enumeledomnului4înraltue cimmmmsimmmmmmscimmmmmsc
spre|toate|limbile|domnulu|spre|ceriure|slava spretoatelimbiledomnuluspreceriureslava immsimmmsimmmmmsimmmmmsimmsimmmmmsimmms
lui|5|cire lui5cire imscimms
e|ca|domnul|dzăul ecadomnuldzăul cisimmmmsimmms
nostru|ce|spre|înralții|vii nostrucespreînralțiivii immmmsisimmsimmmmmmsims
6|și|spre|plecații|caută|spre 6șispreplecațiicautăspre cisimmsimmmmmmsimmmsimms
ceriu|și|spre|pămîntu|7|ce|rrădică ceriușisprepămîntu7cerrădică immmsisimmsimmmmmscisimmmmms
despre|pămîntu|mișelul desprepămîntumișelul immmmsimmmmmsimmmmms
measerul|8|se-l|puie|pri measerul8se-lpuiepri immmmmmscimmsimmsims
săi|9|ce|puse|stearrpa|în|casă săi9cepusestearrpaîncasă imscisimmsimmmmmmsisimms
mîma|de|feciori mîmadefeciori immsisimmmmms
veseleaște-se|alliluia|psalmul|113 veseleaște-sealliluiapsalmul113 immmmmmmmmmmsimmmmmmsimmmmmsims
di|eghipetu|casa|lui|iacov|de dieghipetucasaluiiacovde isimmmmmmsimmsimsimmmsis
oameri|barbari|2|fu|iudei|sfințiia|lui oameribarbari2fuiudeisfințiialui immmmsimmmmmscisimmmsimmmmmmsims
lui|3|marea|vădzu lui3mareavădzu imscimmmsimmms
înrapoi|4|codrii|giucară|ca|berbecii înrapoi4codriigiucarăcaberbecii immmmmscimmmmsimmmmmsisimmmmmms
și|munții|ca|mieii|oilor|5|ce-ți șimunțiicamieiioilor5ce-ți isimmmmsisimmmsimmmscimmms
fu|mare|de fumarede isimmsis
ce|te|turnași|înrapoi|6 ceteturnașiînrapoi6 isisimmmmmsimmmmmsc
pămîntul|de|fața|dzăului pămîntuldefațadzăului immmmmmsisimmsimmmmms
lu|iacov|8|ce|întoarse luiacov8ceîntoarse isimmmscisimmmmmms
netăiată|în|izvor|de|ape|9|nu netăiatăînizvordeape9nu immmmmmsisimmmsisimscis
noao|doamne|nu noaodoamnenu immsimmmmsis
noao|ce|numele|tău noaocenumeletău immsisimmmmsims
dă|slavă|10|după|meserearea dăslavă10dupămeserearea isimmmsisimmsimmmmmmmms
ta|și|deadevărul|tău|se|nu tașideadevărultăusenu isisimmmmmmmmsimsisis
cîndva|dzîcă|limbile|iuo|e|dzăul|lor cîndvadzîcălimbileiuoedzăullor immmmsimmmsimmmmmsimscimmmsims
11|e|domnul 11edomnul iscimmmms
nostru|spre|ceriu|și nostruspreceriuși immmmsimmsimmmsis
spre|pămîntu|toate|cîte|vrea sprepămîntutoatecîtevrea immsimmmmmsimmmsimmsimms
feace|12|idolii|limbilor|arrgintu|și feace12idoliilimbilorarrgintuși immmsisimmmmsimmmmmmsimmmmmmsis
auru|lucrul|mîrulor|omerești|13|rrostu|au aurulucrulmîruloromerești13rrostuau immsimmmmsimmmmmsimmmmmmsisimmmmsis
și|nu|grăiescu șinugrăiescu isisimmmmmms
ochi|au|și|nu ochiaușinu immsisisis
vădzu|14|urechi|au|și vădzu14urechiauși immmsisimmmmsisis
nu|audu|nari|au|și|nu nuaudunariaușinu isimmsimmsisisis
put|15|mîru|au|și|nu|pipăiescu put15mîruaușinupipăiescu imsisimmsisisisimmmmmmms
picioare|au|și picioareauși immmmmmsisis
nu|îmblă|și|nu nuîmblășinu isimmmsisis
glăsescu|cu|grumadzul|său|16 glăsescucugrumadzulsău16 immmmmmsisimmmmmmmsimsis
fie|ca|ei|toți|ce|facu fiecaeitoțicefacu imsisisimmsisimms
ei|și|toți|ce|se|nădăiescu|spre-nsu eișitoțicesenădăiescuspre-nsu isisimmsisisimmmmmmmsimmmmmms
17|casa|lui 17casalui isimmsims
izdrail|nedejdui|spre|dumnedzău izdrailnedejduispredumnedzău immmmmsimmmmmmsimmsimmmmmmms
18|casa|lu|aronu|nedejdui|spre 18casaluaronunedejduispre isimmsisimmmsimmmmmmsimms
cei|ce|temu-se ceicetemu-se imsisimmmmms
de|domnul|nedejduiră|spre dedomnulnedejduirăspre isimmmmsimmmmmmmmsimms
domnul|agiutoriu|și|scutitoriu|lor domnulagiutoriușiscutitoriulor immmmsimmmmmmmsisimmmmmmmmsims
iaste|20|domnul|ce|pomeni-ne|blagoslovi-ne iaste20domnulcepomeni-neblagoslovi-ne immmsisimmmmsisimmmmmmmsimmmmmmmmmmms
blagoslovit-au|casa|lui|izdrail|blagoslovită|iaste|casa blagoslovit-aucasaluiizdrailblagoslovităiastecasa immmmmmmmmmmmsimmsimsimmmmmsimmmmmmmmmmsimmmsimms
lui|aron|21 luiaron21 imsimmsis
blagosloviți|sîmtu|temuții|de blagoslovițisîmtutemuțiide immmmmmmmmmsimmmsimmmmmsis
domnul|micii|cu|mari|22 domnulmiciicumari22 immmmsimmmsisimmsis
se|adaugă|domnul|spre|voi|spre seadaugădomnulsprevoispre isimmmmsimmmmsimmsimsimms
voi|și|spre|fiii|voștri|23|blagosloviți voișisprefiiivoștri23blagosloviți imsisimmsimmsimmmmsisimmmmmmmmmms
voi|domnului|cela voidomnuluicela imsimmmmmmsimms
ce|feace|ceriul|și cefeaceceriulși isimmmsimmmmsis
e|pămîntul|deade|fiilor|oamerilor|25 epămîntuldeadefiiloroamerilor25 cimmmmmmsimmmsimmmmsimmmmmmmsis
nu|morrții|laudă-te|doamne|nice|toți|ce numorrțiilaudă-tedoamnenicetoțice isimmmmmsimmmmmmsimmmmsimmsimmsis
deștingu|întru|iadu deștinguîntruiadu immmmmmsimmmsimms
26|ce|noi|viii 26cenoiviii isisimsimms
în|veacu|alliluia|psalmul|114|1 înveacualliluiapsalmul1141 isimmmsimmmmmmsimmmmmsimsc
2|că|plecă 2căplecă cisimmms
ureachea|sa|mie|și ureacheasamieși immmmmmsisimsis
în|dzilele|meale|chiema-l-voiu|3 îndzilelemealechiema-l-voiu3 isimmmmmsimmmsimmmmmmmmmmmsc
prensără-me|durerili|morției|nevoile|iadului|aflară-me prensără-medurerilimorțieinevoileiaduluiaflară-me immmmmmmmmsimmmmmmsimmmmmsimmmmmsimmmmmsimmmmmmms
scîrbi|și|durere|aflaiu|4|și|numele scîrbișidurereaflaiu4șinumele immmmsisimmmmsimmmmscisimmmms
domnului|chiemaiu|o domnuluichiemaiuo immmmmmsimmmmmmsc
