pravilaacestaiaste immmmmsimmmmsimmms
aceștiaoamerineburi immmmmsimmmmsimmmms
șinumîndrinu isisimmmmsis
însușiacestaaltăutată immmmsimmmmsisimsimms
avu-teșifeace-teșizidi-te7 immmmsisimmmmmmsisimmmmmsc
aduceți-văamentededzileledeveacuînțeleageți immmmmmmmsimmmmsisimmmmmsisimmmsimmmmmmmmms
aiirrodulrrodurelor imsimmmmsimmmmmmmms
întreabăpărinteletăuși immmmmmsimmmmmmmsimsis
spure-vațiebătrîriităiși immmmmmsimsimmmmmmsimsis
gice-vorție8cînduîmpărțiiade immmmmmsimscimmmsimmmmmmmsis
suslimbilecăsămărăfiiiluiadamu imsimmmmmsisimmmmsimmsimsimmms
puseîmpărrțitullimbilor immsimmmmmmmmmsimmmmmms
dupăsamaîngerilordomnului immsimmsimmmmmmmsimmmmmms
9șifuparteadomnului cisisimmmmsimmmmmms
oameriiluiiacovceeocina immmmmsimsimmmsiscimmms
ciialuiizdrail10sătură-ieluîm immsimsimmmmmsisimmmmmmsimsis
pustieșiîn immmmsisis
seatezăduhuluiînloc immmsimmmmmmmsisims
fără-apăîncungiurăelușiînvăță immmmmmsimmmmmmmmsimsisimmmms
elușiferiielucalumea imsisimmmsimsisimmms
ochiului11cavulturulcecoaperecuibul immmmmmsisisimmmmmmsisimmmmmsimmmms
săușispre imsisimms
puiisăijeluitinse immsimsimmmsimmms
arepilesaleșipriimipre-nșii immmmmsimmsisimmmmsimmmmmms
șiluo-ispreumărulsău12 isimmmsimmsimmmmsimsis
domnulînsușipurtapre-nșiișinuera immmmsimmmmsimmmsimmmmmmsisisims
cunrîșiidumnedzău isimmmmsimmmmmmms
striiru13rrădică-ispre immmmmsisimmmmmmmsimms
vîrtuteapămîntuluișisătură-ipre-nși immmmmmsimmmmmmmmsisimmmmmmsimmmmms
degreunțelesatelorsupserămiaredim isimmmmmmmsimmmmmsimmmmmsimmmsims
piatrășiuntudinvîrtușeareapietriei14 immmmsisimmsimsimmmmmmmmmsimmmmmmsis
untudevacă immsisimms
șilaptedeoaie isimmmsisimms
cugrasulmieilorșiberbecilor isimmmmsimmmmmsisimmmmmmmms
șiiigiuncilorșițapilorcugrasul immsimmmmmmmsisimmmmmsisimmmms
grîuluișisîngedeauobeaviru immmmmsisimmmsisimsimsimms
15șimîncă isisimmms
iacovșisătură-seși immmsisimmmmmmmsis
lepădă-seiubitulcugrasuîngrășe-se immmmmmmsimmmmmsisimmmsimmmmmmmms
șilărrgișilăsădomnulcela isimmmmsisimmsimmmmsimms
celufeacepre-nsușidelungă-sede isisimmmsimmmmmsisimmmmmmmmsis
domnulce-lmîntui immmmsimmsimmmms
pre-nsu16mîniiară-mede immmmmsisimmmmmmmmmsis
striirișiîntruurrîtelesale immmmmsisimmmsimmmmmmsimms
amărrără-me17cumîndareadraciloruenu immmmmmmmmsisimmmmmmmmsimmmmmmmscis
domnuluiadomnuluicenuvedeanoii immmmmmscimmmmmmsisisimmmsimms
șidupănoi isimmsims
aduserăcenuștiia immmmmsisisimmms
părințiilor18dumnedzăucela immmmmmsimsisimmmmmmmsimms
cetenăsculăsași-lșiuitași isisimmmsimmmmmmsisimmmms
dumnedzăucelacetesătură19și immmmmmmsimmsisisimmmmsisis
vădzudumnedzăuși immmsimmmmmmmsis
rrîvnișiîntărrîtă-sedereptu immmmsisimmmmmmmmmmsimmmmms
mîniiafiilorsăișidereptu immmmsimmmmsimsisimmmmms
featelelor20șidziseîntoarce-voiu immmmmsimsisisimmmsimmmmmmmmmmms
fațameadecătr-înșiișispure-voiuce immsimsisimmmmmmmmsisimmmmmmmmsis
vafilor isisims
apoicărrodrrăzvrătitu immsisimmsimmmmmmmmms
iastefecioricenuiaste immmsimmmmmsisisimmms
credințăîntr-înși21eimîniiară-menu immmmmmsimmmmmmmsisisimmmmmmmmmsis
întrudumnedzăumîniiară-meînidoliisăiși immmsimmmmmmmsimmmmmmmmmsisimmmmsimsis
euîntărrîtupre-nși isimmmmmmmsimmmmms
nuînlimbiîn isisimmmsis
limbăneînțeleaptămîniepre-nși22 immmsimmmmmmmmmmsimmmsimmmmmsis
căfocaprinse-sedeurgiiamea isimsimmmmmmmmsisimmmmsims
șiarrsepîrălaiaduldedesuptuși isimmmsimmsisimmmsimmmmmmmsis
mîncăpămîntulși immmsimmmmmmsis
păreaeișiaprinse immmsisisimmmmms
urdziturilecodrilor23adura-voiuspre-nși immmmmmmmmsimmmmmmsisimmmmmmmmsimmmmmms
rrăușisăgeatelemealesfîrși-le-voiuspre-nși immsisimmmmmmmsimmmsimmmmmmmmmmmmsimmmmmms
24topindu-sedefoameșidemîncarea isimmmmmmmmsisimmmsisisimmmmmms
pasărilorșispirare immmmmmmsisimmmmms
nevendecatădințiifierilortremeate-voiu immmmmmmmmsimmmmsimmmmmmsimmmmmmmmmmms
într-înșiicuurgiecetragu-se immmmmmmmsisimmmsisimmmmmms
prepămîntu25afarăpiiarde-ispată imsimmmmmsisimmmsimmmmmmmsimmms
șidinlontrufricăgiurelucufeate isimsimmmmsimmmsimmmmmsisimmms
cumsugecu imsimmsis
feciorelubătrîru26dzișiu immmmmmmsimmmmmsisimmmms
sămăra-voiupri-nșicuntiri-voiudeoamerii immmmmmmmmsimmmmmsimmmmmmmmmmsisimmmmms
pamentealor27numaidereptudracii immmmmmsimsisimmmsimmmmmsimmmms
lorsenuaibăa-ilungiși imsisisimmsimsimmmsis
senucadză isisimmms
spre-nșiluptătorisenu immmmmmsimmmmmmmsisis
dzică«mîranoastrăînraltăe immmsimmmsimmmmmsimmmmmsc
nudomnulfeaceaceasteatoate»28 isimmmmsimmmsimmmmmmsimmmmsis
călimbăpierdutsvatuiasteșinu isimmmsimmmmmsimmmsimmmsisis
eîntr-înșimăiestrie cimmmmmmmsimmmmmmms
29nugîndirăse isisimmmmmsis
înțeleagăaceasteatoatesepriimească immmmmmmsimmmmmmsimmmsisimmmmmmmms
învreamecevire30cumu isimmmmsisimmsisimms
goneașteurulmiișidoirrădicăînturearece immmmmmsimmsimsisimsimmmmmsimmmmmmmmms
senudomnul isisimmmms
deadeeișidomnul immmsisisimmmms
pridădipre-nși31nusîmtu immmmmsimmmmmsisisimmms
dumnedzeiilorcadomnuldzăulnostru immmmmmmmsimsisimmmmsimmmsimmmms
edraciinoștrineînțelepți-su32deviile cimmmmsimmmmsimmmmmmmmmmmmsisisimmms
sodomuluiviialor immmmmmmsimmsims
iasteșivițalor immmsisimmsims
degomorstrugurullorstruguru isimmmsimmmmmmmsimsimmmmmms
defiiarestruguruamarruloru33 isimmmmsimmmmmmsimmmmsimmsis
mîniiazmăuluivirulloriasteșimîniia immmmsimmmmmsimmmsimsimmmsisimmmms
aspideeinevendecată34 immmmmmsimmmmmmmmmsis
nuaceasteatoateadurară-se isimmmmmmsimmmsimmmmmmmms
lamereșipecetluiră-seîn isimmsisimmmmmmmmmmmsis
vistearelemeale35îndzide immmmmmmmsimmmsisisimsis
vrăjbieeudauînvreamecînduînșela-se-va immmmmsisimsisimmmmsimmmsimmmmmmmmmms
piciorullorcă immmmmmsimsis
aproapeedzuaperireei immmmmscimmsimmmmmms
lorșipristăvirăgotovințelevoastre imsisimmmmmmmmsimmmmmmmmmsimmmmms
36căgiudecădomnuloamerilorsăi isisimmmmmsimmmmsimmmmmmmsims
șideșerbiisăirroagă-secăvădzu isisimmmmsimsimmmmmmmsisimmms
pre-nșiislăbinduși immmmmmsimmmmmmsis
împrădaretrașiscîrbiți isimmmmmsimmmsimmmmmms
37șidzisedomnuliuo isisimmmsimmmmsims
sîmtudumnedzeiilorceeinedejduiia immmsimmmmmmmmsimsisisimmmmmmmms
spre-nșii38cegrasulcumîndărilormîncațiși immmmmmmsisisimmmmsimmmmmmmmmmsimmmmmsis
beațivirulprinoasele immmsimmmsimmmmmmmms
lorseînvieei imsisimmmsis
șiseagiutevoaoși isisimmmmsimmsis
fievoaocoperitori39vedețivedeți imsimmsimmmmmmmmsisimmmmsimmmms
căeusîmtudomnușinue isisimmmsimmmsisisc
dumnedzăualtutricîndu immmmmmmsimmsimmmmmms
demereeuucigu isimmsisimmms
șiviațăfacuvatămuși isimmmsimmsimmmmsis
euvendecușinuecere isimmmmmsisiscimms
se-iscoațădemmîrulemeale40că immsimmmmsimsimmmmsimmmsisis
rrădica-voiuspreceriu immmmmmmmmmsimmsimmms
mîrameașigiura-me-voiu immsimsisimmmmmmmmmmms
cudereaptameașidzicu isimmmmmmsimsisimmms
«viueuînveac»41că immsisisimmmsisis
ascuți-voiucafulgerulspatameașipriimi-va immmmmmmmmsisimmmmmmsimmmsimsisimmmmmmms
giudețumîramea immmmmsimmsims
șivoiudaizbîndă isimmsisimmmmms
spredracișiceiace immsimmmsisimmsis
nunevidescuda-voiu42adăpa-voiusăgeatele isimmmmmmmsimmmmmsisimmmmmmmmsimmmmmmms
mealedesîngeșiarrmelemealemînca-voru immmsisimmmsisimmmmmsimmmsimmmmmmmms
carrnedesîngele immmmsisimmmmms
vătămațilorșiprădațide immmmmmmmmsisimmmmmsis
capulgiudecilorlimbilor43veseliți-vă immmsimmmmmmmmsimmmmmmsisimmmmmmmmms
ceriuredepreurăcurusușiînchiră-să immmmmsimmmmmmsisimmsisimmmmmmmms
luitoțiîngiriiluidumnedzăuveseliți-vălimbi imsimmsimmmmmsimsimmmmmmmsimmmmmmmmmsimmms
cuoameriilui isimmmmmsims
șiseseînvîrtoașe isisisimmmmmmmms
luitoțifiiiluidumnedzău imsimmsimmsimsimmmmmmms
căsîngelefiilorsăișivrăjbiia isimmmmmsimmmmsimsisimmmmmms
lorizbîndișida-vavrăjbiedracilorși imsimmmmmsisimmmsimmmmmsimmmmmmsis
celoracenu immmmsisis
nevidiiapre-nsuda-vași immmmmmsimmmmmsimmmsis
curățidomnulpămîntuloamerilorsăi immmmsimmmmsimmmmmmsimmmmmmmsims
rrugăciureaanneeimaicieiluisamoilucîntarea immmmmmmmmsimmmmsimmmmmsimsimmmmmsimmmmmms
atreia1regiii1întăreaște-se cimmmscimmsiscimmmmmmmmmmms
înrimameaîntru immmmsimsimmms
domnulrrădică-secorrnulmieu immmmsimmmmmmmmsimmmmmsimms
îndzăulmieulărrgiia-seusnele isimmmsimmsimmmmmmmmmsimmmms
mealespredraciimieiveseliu-mede immmsimmsimmmmsimmsimmmmmmmmsis
spăseniiata2cănuesfîntu immmmmmmsiscisiscimmmms
cadomnulși isimmmmsis
nuedereptuca iscimmmmmsis
domnulnostrușinue immmmsimmmmsisisc
sfîntualegîndudetire3nu immmmsimmmmmmsisimmscis
vălăudarețișinugrăirețisusuîn isimmmmmmmsisisimmmmmmsimmsis
trufănicese immmsimmsis
iasămaricuventedin immsimmsimmmmmsims
rrostulvostrucădomnulcu-nțelepciure immmmmsimmmmsisimmmmsimmmmmmmmmmmms
edomnulșidomnulgotoviiaînceputele cimmmmsisimmmmsimmmmmmsimmmmmmmms
sale4arrcultarilornuputuși immscimmmmsimmmmmsisimmsis
nătariiîncinseră-secu immmmmsimmmmmmmmmmsis
vîrtute5cepliri immmmmscisimmms
edepîrelăsară-seși cisimmsimmmmmmmsis
flămîndzirășiproidirăpămîntulcăstearrpa immmmmmmmmsisimmmmmmsimmmmmmsisimmmmmms
născușeapteșimultaîntrufeciorinu immmsimmmmsisimmmsimmmsimmmmmsis
putu6domnul immscimmmms
omorreașiînviegiosu immmmmsisimmmsimmms
pleacăîntruiadușirrădică immmmsimmmsimmsisimmmmms
7domnulmesereașteșibogățeașteși cimmmmsimmmmmmmmsisimmmmmmmmsis
smereașteșirrădică8înralțădepămîntu immmmmmmsisimmmmmscimmmmmsisimmmmms
mișelulșidin immmmmsisims
gunoiurrădicămișelulse immmmsimmmmmsimmmmmsis
puieelucutăriiaoamerilor immsimsisimmmmsimmmmmmms
șiscaunuslăvitusedealui isimmmmsimmmmmsisimsims
9cedeaderrugăciurearrugătoriuluișiblagoslovit-au cisimmmsimmmmmmmmmsimmmmmmmmmmmsisimmmmmmmmmmmms
aiidereptuluică imsimmmmmmmmsis
nuînvîrtoașe-setarelebărbatu isimmmmmmmmmmmsimmmmsimmmmms
cutăriiasa10domnul isimmmmsisisimmmms
nătare-lfacevrăjmașiulluidomnulsfîntu immmmmmsimmsimmmmmmmmsimsimmmmsimmmms
senuselaudeînțeleptulcuînțelepciurea isisisimmmsimmmmmmmmsisimmmmmmmmmmms
sașise isisis
nuselaudetarele isisimmmsimmmms
cutăriiasașise isimmmmsisisis
nuselaudebogatulcubogătatea isisimmmsimmmmmsisimmmmmmms
sacedeaceasteaseselaude isisisimmmmmmsisisimmms
ceînțeleageși isimmmmmmmsis
știdomnulșiface imsimmmmsisimms
giudețușidereptateprimmijloc immmmmsisimmmmmmmsimmsimmmms
depămîntudomnulsuiînceriu isimmmmmsimmmmsimsisimmms
șiturăacelagiudecăsfîrșitelepămîntuluidereptu isimmsimmmsimmmmmsimmmmmmmmsimmmmmmmmsimmmmms
iasteșideade immmsisimmms
vîrtuteîmpărațilornoștriși immmmmsimmmmmmmmmsimmmmsis
rrădica-vacornulhristosuluisăurrugăciurea immmmmmmmsimmmmsimmmmmmmmmsimsimmmmmmmmms
luiavacproroculuicîntareaapatra imsimmsimmmmmmmmsimmmmmmscimmms
avacum31doamneaudziiuaudzireata immmmsccimmmmsimmmmmsimmmmmmsis
șispămîntaiu-medoamne isimmmmmmmmmmmsimmmms
înțeleșulucrultăuși immmmmmsimmmmsimsis
miraiu-me2primmijlocde immmmmmmscimmsimmmmsis
doaoviețicunuscutufi-vericînduapropiia-se-vor immsimmmsimmmmmmmsimmmmmsimmmsimmmmmmmmmmmmms
aiicunuscutufi-vericînduveri-vavreameaivi-te-veri imsimmmmmmmsimmmmmsimmmsimmmmmsimmmmmsimmmmmmmmms
cînduturbura-se-vasufletul immmsimmmmmmmmmmmsimmmmmms
mieuîmmîniemilă immsisimmmsimms
pomenești3domnuldeaustru immmmmmmscimmmmsisimmmms
vireșisfîntuldecodrisămărați immsisimmmmmsisimmmsimmmmmms
deșicopericeriuluburătatealuișilauda immsimmmmsimmmmmsimmmmmmmsimsisimmms
luiîmplupămîntul imsimmmsimmmmmms
4șilucirealui cisimmmmmsims
calumiravaficoarne isimmmmsisisimmmms
îmmîruleluișipuseiuboste isimmmmsimsisimmsimmmmms
tarevîrtuteasa5întrefațalui immsimmmmmmsiscimmmsimmsims
înraintemeargecuvîntu immmmmmsimmmmsimmmmms
șiieși-vaîncîmpu isimmmmmsisimmms
înrapoiapicioarelorlui6stătu immmmmmsimmmmmmmmmsimscimmms
șirrădică-sepămîntulcăutășitopiră-se isimmmmmmmmsimmmmmmsimmmsisimmmmmmms
limbilefrînseră-secodriicunevoieșitopiia-se immmmmsimmmmmmmmmsimmmmsisimmmmsisimmmmmmms
munțiideveacu immmmsisimmms
îmblarealorudeveacu immmmmmsimmsisimmms
7dereptutrudvădzurăsatele cimmmmmsimmsimmmmmsimmmms
ethiopilorspămîntară-seșicopere-mentelepămîntului immmmmmmmsimmmmmmmmmmmsisimmmmmsimmmmmsimmmmmmmms
demadiamu8doarăînrîuremînie-te isimmmmmscimmmsisimmmsimmmmmms
doamnedoarăîn immmmsimmmsis
rrîureeurrgiiata immmmscimmmmmsis
sauîntrumareecurrărea imsimmmsimmscimmmmmms
tacăîncălecașisprecaiităi isisimmmmmmmmsimmsimmsims
șiîncălecareataspăsenie9întindzînduîntinseși isimmmmmmmmmsisimmmmmmscimmmmmmmmmsimmmmmmms
arrcultăuspre immmmsimsimms
steaguregrăidomnulcu immmmmmsimmsimmmmsis
rrîureprăpădi-sepămîntul10vedea-te immmmsimmmmmmmmsimmmmmmsisimmmmmms
vorșirrăzboli-se-voroameriispărseșiapelor imsisimmmmmmmmmmmmmsimmmmmsimmmmmmsimmmms
currăredeadefără-funduglasulsăușiînraltul immmmmsimmmsimmmmmmmmsimmmmsimsisimmmmmms
vederilesale11 immmmmmsimmsis
rrădică-sesoareleșilura immmmmmmmsimmmmmsisimms
stătuîntrufaptulsăuîn immmsimmmsimmmmsimsis
lumirăsăgeateletalemearge-vorînluci- immmmsimmmmmmmsimmsimmmmmmmmsisimmms
redefulgeruarmeletale12cu isisimmmmmsimmmmsimmsisis
zăpretiremicșiurașipămîntul immmmmmmsimmmmmmmmsimmmmmms
șicumînieplecași isisimmmsimmmmms
limbile13ieșiînispăsenie immmmmsisimmsisimmmmmmms
oamerilorsăisespăseștihristiităi immmmmmmsimsisimmmmmmsimmmmmsims
verit-aibăgat-aiîncapetelestrîmbătateimoarterrădică immmmmmsimmmmmmsisimmmmmmsimmmmmmmmmmsimmmmsimmmmms
legăturipîrăla immmmmmsimmsis
cerbiceînsfîrșitu14 immmmmsisimmmmmmsis
sătaicumirurecapetele isimsisimmmmsimmmmmms
tarilordeșchidufrîrelesalecamîncarea immmmmsimmmmmmsimmmmmsimmsisimmmmmms
measeruluifurișiu15șiadus-aispremare immmmmmmmsimmmmmsisisimmmmmsimmsimms
caiităice immsimsis
turburăapemulte16 immmmmsimsimmmsis
feriiu-meșispămîntă-seînrimamea immmmmmmsisimmmmmmmmmsimmmmsims
deglasulrrugăciurieirrostuluimieuși isimmmmsimmmmmmmmmmsimmmmmmmsimmsis
întrăcutremuruînoaselemealeșiîntru immmsimmmmmmmsisimmmmsimmmsisimmms
mereturbură-sevîrtutea immsimmmmmmmmsimmmmmms
mearăpăusa-voiuîndzi imsimmmmmmmmmmsisims
degrijeameasesuiu isimmmmsimsisimms
înoameriveritulmieu17derep isimmmmsimmmmmsimmsisimmms
cesmochiniirroadănufacușinu isimmmmmmmsimmmmsisimmsisis
vafirrodire isisimmmmms
înviemenți-valucrul isimsimmmmmmsimmmms
maslinilorșicîmpiinuvor immmmmmmmsisimmmmsisims
facemîncarescădzurăoiledehrană immsimmmmmsimmmmmmsimmsisimmms
șinuvorfiboiilîngăiasle isisimsisimmsimmmsimmms
18eeu iscis
dedomnulveseliiu-meși isimmmmsimmmmmmmmmsis
bucura-me-voiuîntrudumnedzăuspăsitoriulmieu immmmmmmmmmmmsimmmsimmmmmmmsimmmmmmmmmsimms
19domnuldzăulmieuvîrtuteamea isimmmmsimmmsimmsimmmmmmsims
iasteșiface-vapicioarelemealespresfîrșire immmsisimmmmmsimmmmmmmmsimmmsimmsimmmmmms
șispreînralte isimmsimmmmms
pleca-me-vaseînvîncuîn immmmmmmmmsisimmmmmsis
cîntărileluirrugăciureaisaieeiprorocului immmmmmmsimsimmmmmmmmmsimmmmmsimmmmmmmms
cîntareaacinceaisaia269 immmmmmscimmmmsimmmsisc
denoaptemîreca-vasufletulmieucătrătire isimmmmsimmmmmmmsimmmmmmsimmsimmmsimms
doamnederepce immmmsimmmsis
lumirăegiceriletale immmmscimmmmmmsimms
prepămîntudereptateînvățați-văceia imsimmmmmsimmmmmmmsimmmmmmmmmsimms
ceviusprepămîntu10că isimsimmsimmmmmsisis
stătunecuratulcenuseînvățadereptate immmsimmmmmmmsisisisimmmmsimmmmmmms
sprepămîntudeadevăru immsimmmmmsimmmmmmms
nufacesese isimmsisis
ianecuratulsenuvadză isimmmmmmmsisisimmms
slavadomnului11doamneînraltăe immmsimmmmmmsisimmmmsimmmmmsc
atasisioarășinuvădzurăcire cisimmmmmmsisisimmmmmsimms
înțeleagerrușira-se-vorrrîvnire immmmmmmsimmmmmmmmmmmmsimmmmmms
priimi-voroameriineînvățațiși immmmmmmmsimmmmmsimmmmmmmmsis
acmufocvrăjmașiimînca-vapre-nșii immsimsimmmmmmmsimmmmmmsimmmmmms
12doamnedzăulnostrupacedă isimmmmsimmmsimmmmsimmsis
noaocătoatedat-ainoao13doamne immsisimmmsimmmmsimmsisimmmms
dzăulnostruaflă-ne immmsimmmmsimmmmms
doamnetrecîndudetire immmmsimmmmmmsisimms
altulnuștimunumeletău immmsisimmmsimmmmsims
menimu14morțiiviiațănuvor immmmsisimmmmsimmmmsisims
vedeanicevraciise-ipoatăînviederept immmsimmsimmmmsimmsimmmsimmmsimmmms
aceaaduseșiși immsimmmmmsis
pierduși-ișiluașitoată immmmmmmmsisimmmsimmms
parteadebărbățiialor15 immmmsisimmmmmmmsimsis
adaugelorrrăudoamneadaugerrău immmmsimsimmsimmmmsimmmmsimms
marilorpămîntului16doamneîngrijepomenimu-te immmmmsimmmmmmmmsisimmmmsisimmmsimmmmmmmmms
șiîngrije isisimmms
neșchităînvățăturatanoao immmmmmsimmmmmmmmsisimms
17căceaiacedurea isisimmmsisimmms
apropiia-seanașteșiîndurearea immmmmmmmmscimmmsisisimmmmmms
sastrigaașiafumuiubituluitău18 isimmmmsimmsimmsimmmmmmmsimsis
dereptufricata immmmmsimmmsis
doamneîntruzgăupriimimu immmmsimmmsimmsimmmmmms
șiduru-neșinăscumduhul isimmmmmsisimmmmsimmms
spăsenieitalecefeacemusprepămîntu immmmmmmsimmsisimmmmmsimmsimmmmms
nucădemucecădea-vorceiaceviu isimmmmsisimmmmmmmsimmsisims
sprepămîntu19 immsimmmmmsis
învie-vormorțiișiscula-se-vor immmmmmmsimmmmsisimmmmmmmmmms
ceiacesîmtuîmmormente immsisimmmsisimmmmmms
șiveselise-vorcere-susprepămînturroao isimmmmmmmmmmsimmmmmsimmsimmmmmsimmms
ceedelatirevendecarelor iscisisimmsimmmmmmmsims
iasteepămîntul immmscimmmmmms
necurațilorcade20îmblați immmmmmmmmsimmsisimmmmms
oameriimieiîntrațiîncelariul immmmmsimmsimmmmmsisimmmmmms
vostruînchidețiușilevoastreascundeți-văîntru immmmsimmmmmmmsimmmsimmmmmsimmmmmmmmmmsimmms
neșchitucîtuecîtuepîrărrugăciurea immmmmmsimmscimmscimmsimmmmmmmmms
ioniproroculuicîntarea immsimmmmmmmmsimmmmmms
așeaseaiona2 cimmmmsimmsc
3chiemaiuîngrijeamea cimmmmmmsisimmmmsims
cătrădomnuldumnedzăulmieușiaudzi-me immmsimmmmsimmmmmmmmsimmsisimmmmmms
dimmațeleiaduluistrigareameaaudzit-aiglasul imsimmmmsimmmmmsimmmmmmmsimsimmmmmmmsimmmms
mieu4împensu-me-ai immscimmmmmmmmmmms
întruadîncatulînrimieimariei immmsimmmmmmmsimmmmmmsimmmms
șirrîureîncungiurară-metoateînraltele isimmmmsimmmmmmmmmmmmmsimmmsimmmmmmms
taleșiundeletaleprespremere immsisimmmmsimmsimmmmmsimms
curru5șieudzișiuîmpenșiu-mede immmscisisimmmmsimmmmmmmmmsis
ochiităiadauge-voiu immmsimsimmmmmmmmms
amusecautucătră imsisimmmsimmms
besearecasfîntatapădi-secapul immmmmmmsimmmmsisimmmmmsimmms
mieuîmpropastilecodrilor7deștinșiu immsisimmmmmmmmsimmmmmmscimmmmmmms
împămîntulceeraverigileșiînchisurile isimmmmmmsisimsimmmmmmsisimmmmmmmmms
înveacuși isimmmsis
seiasădintruputredire isimmsimmmmsimmmmmmms
viiațameacătrătiredoamne immmmsimsimmmsimmsimmmms
dzăulmieu8cîndusfîrrșiia-sede immmsimmscimmmsimmmmmmmmmmsis
lameresufletulmieudomnulpomeniiuși isimmsimmmmmmsimmsimmmmsimmmmmmsis
seviecătră isimsimmms
tirerrugăciureameacătră immsimmmmmmmmmsimsimmms
besearecasfîntata9ceia immmmmmmsimmmmsiscimms
ceferescuîndeșertușimenciurile isimmmmmsisimmmmmsisimmmmmmmms
milasalăsară10eeucu immsisimmmmsiscisis
glasullaudeși immmmsimmmsis
ispovediregiunghiuțiecîte immmmmmmmsimmmmmmsimsimms
făgăduitu-me-amuda-voiuțieprespăseniia immmmmmmmmmmmmmsimmmmmsimsimsimmmmmmms
meadomnuluirrugăciureaazarieidincarrtea imsimmmmmmsimmmmmmmmmsimmmmmsimsimmmmms
ludaniiluproroculcîntareaașeapteacîntarea isimmmmmsimmmmmmsimmmmmmscimmmmmsimmmmmms
celortreitineri immmsimmsimmmms
2blagosloviteștidoamne cimmmmmmmmmsimmsimmmms
dumnedzăulpărințilorunoștrișilăudatu immmmmmmmsimmmmmmmmmsimmmmsisimmmmms
eșipreaslăvitunumeletăuîn cisimmmmmmmmmsimmmmsimsis
veacu3cădereptueștidetoate immmscisimmmmmsimmsisimmms
cefapt-ainoao isimmmmmsimms
șitotulucrultău isimmsimmmmsims
deadevărușidereaptecailetale immmmmmmsisimmmmmmsimmmsimms
șitoategiudeațeletaledeadeveare4 isimmmsimmmmmmmmsimmsimmmmmmmmsc
dupătoateceaduseșisprenoiși immsimmmsisimmmmmsimmsimsis
precetateasfîntă imsimmmmmsimmmms
părințilorunoștriînierusalim immmmmmmmmsimmmmsisimmmmmmms
cădeadevărușigiudețuaduseși isimmmmmmmsisimmmmmsimmmmms
aceasteatoatesprenoidereptupăcatele immmmmmsimmmsimmsimsimmmmmsimmmmmms
noastre5căgreșimușifără-legiuimudelungămu-ne immmmmscisimmmmmsisimmmmmmmmmmmsimmmmmmmmmms
detireși isimmsis
preagreșimuîntrutoate immsimmmmmsimmmsimmms
6șidziseletalenu cisimmmmmsimmsis
ascultămuneceferimunecefeacemca immmmmmmsimmsimmmmsimmsimmmmsis
dzis-ainoaodebiresefienoao immmmmsimmsisimmsisimsimms
7șitoate cisimmms
cîtefapt-ainoaoși immsimmmmmsimmsis
toatecîteaduseșiprenoi immmsimmsimmmmmsimsims
deadevărugiudețufeceși8șipridădit-ai immmmmmmsimmmmmsimmmmscisimmmmmmmmms
noiînmîrulevrăjmașilorfărăleageurrîtupreacălcătoriu imsisimmmmsimmmmmmmmmsimmmmmmmsimmmmsimmmmmmmmmmmms
șiîmpăratunederep- isimmmmmmsimmmmmms
tușihicleanumai isisimmmmmmsims
vîrtosdetotupămîntul9 immmmsisimmsimmmmmmsc
șiacmunuiastenoaoa isimmsisimmmsimmsc
deșchiderrostulrreaceșiîmputarecefumu immmmmmsimmmmmsimmmmsisimmmmmmsisimms
șerbilorutăice immmmmmmsimsis
tecinstescu10nu isimmmmmmmsisis
danoipîrălasfîrșitu isimsimmsisimmmmmms
dereptunumeletăușinusparrge immmmmsimmmmsimsisisimmmmms
leageata11șinulăsamila immmmsisisisisimmsimms
tadela isisis
noidereptuavraamuiubitul imsimmmmmsimmmmmsimmmmms
detireșidereptuisacu isimmsisimmmmmsimmms
șerbultăușiizrailsfîntultău immmmsimsisimmmmsimmmmmsims
12celorcegrăișisemulțească-sesămînța isimmmsisimmmmsisimmmmmmmmmmsimmmmms
lorcastealele imsisimmmmmms
ceriuluișicaarira immmmmmsisisimmms
premarrgireamariei13că imsimmmmmmmsimmmmsisis
despuietoaremicșurămu-nemaivîrtosudetoate immmmmmmmmmsimmmmmmmmmmsimsimmmmmsisimmms
limbișisemusmerițiprespretotupămîntul immmsisimmsimmmmmsimmmmmsimmsimmmmmms
astădzidereptupăcatele immmmmsimmmmmsimmmmmms
noastre14șinu immmmmsisisis
iasteînvreameadecăgiudețu immmsisimmmmsimmmsimmmmms
șiprorocușipurrtătoriunecetoate isimmmmmsisimmmmmmmmmsimmsimmms
arrselenececomîndărileneceaducerenececădila immmmmsimmsimmmmmmmmmsimmsimmmmmsimmsimmmms
necelocuagiungea immsimmsimmmmmms
înrainteatașise immmmmmmsisisis
aflămumilă15cecu immmmsimmsisisis
sufletufrîmtușicuduhusmearitu immmmmsimmmmsisisimmsimmmmmms
sefimupreimiți16catoatearrsele isimmsimmmmmmsisisimmmsimmmmms
deoiși isisis
degiuncișica isimmmmsisis
întruîntrurearecedemieigrași immmsimmmmmmmmmmsisimmsimmms
așeasefiecomîndareanoastrăîntre immsisimsimmmmmmmmsimmmmmsimmms
tireastădzișisfîrșimu-nedupătirecă immsimmmmmsisimmmmmmmmmsimmsimmsis
nuiasterreace isimmmsimmmms
upovăindupretire17 immmmmmmsimsimmsis
șiacmudupătireverimu isimmsimmsimmsimmmms
