pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
29|avdie|proroc|30|iona|prorocul 29avdieproroc30ionaprorocul isimmmsimmmmsisimmsimmmmmms
31|mehie|proroc|32|naum|prorocul|33 31mehieproroc32naumprorocul33 isimmmsimmmmsisimmsimmmmmmsis
avvacom|proroc|34 avvacomproroc34 immmmmsimmmmsis
sofonie|proroc|35|avghia sofonieproroc35avghia immmmmsimmmmsisimmmms
malahie|proroc|den|aceastea|toate|nu-s malahieprorocdenaceasteatoatenu-s immmmmsimmmmsimsimmmmmmsimmmsimms
multe|care|n-au|ieşit|în|limbă|rumânească multecaren-auieşitînlimbărumânească immmsimmsimmsimmmsisimmmsimmmmmmmms
sîrbeşti|şi|greceşti|însă sîrbeştişigreceştiînsă immmmmmsisimmmmmmsimms
acmu|asupră|de-aceastea|tipăritu-se-au|ceastea acmuasuprăde-aceasteatipăritu-se-auceastea immsimmmmsimmmmmmmmmsimmmmmmmmmmmmsimmmmms
doo|cărţi|dentîniu|a|lu|moisi doocărţidentîniualumoisi imsimmmsimmmmmmscisimmms
proroc|bitiia|în|care|bitie|şi|carte prorocbitiiaîncarebitieşicarte immmmsimmmmsisimmsimmmsisimmms
dentîniu|scris-au|sfînt dentîniuscris-ausfînt immmmmmsimmmmmmsimmms
moisi|începătura|a|toate moisiîncepăturaatoate immmsimmmmmmmmscimmms
făpturilor|mai|vîrtos|iară|omul făpturilormaivîrtosiarăomul immmmmmmmsimsimmmmsimmsimms
sfinţie|dup-acea|cum sfinţiedup-aceacum immmmmsimmmmmmsims
au|cădzut|şi|apoi aucădzutşiapoi isimmmmsisimms
la|adam|şi|de|la|eva laadamşidelaeva isimmsisisisims
cumu|se-au|împărţit|în|lume|şi|cumu cumuse-auîmpărţitînlumeşicumu immsimmmsimmmmmmsisimmsisimms
ş-au|adus|pre ş-auaduspre immsimmsims
potopul|apeei|şi|cum|au potopulapeeişicumau immmmmsimmmsisimsis
rămas|în|corabie|numai|noe|pătriarhul rămasîncorabienumainoepătriarhul immmsisimmmmmsimmmsimsimmmmmmmms
den|toată|lumea|în|vreamea|potopului|şi dentoatălumeaînvreameapotopuluişi imsimmmsimmmsisimmmmmsimmmmmmmsis
noe|însuşi|al|optul noeînsuşialoptul imsimmmmsisimmms
se-au|izvodit|iarăşi|a|doo se-auizvoditiarăşiadoo immmsimmmmmsimmmmscims
lume|scrie-se|şi|aceasta|dup-aceea|cum lumescrie-seşiaceastadup-aceeacum immsimmmmmmsisimmmmmsimmmmmmmsims
şi|de|pre|iosif|cu şidepreiosifcu isisimsimmmsis
bun|năravul|său|şi|iacov|cu bunnăravulsăuşiiacovcu imsimmmmmsimsisimmmsis
feciorii|săi|cum|fu|dus|în|eghipet fecioriisăicumfudusîneghipet immmmmmsimsimsisimsisimmmmms
ishod|în|care ishodîncare immmsisimms
scrie|moisi|cum|au scriemoisicumau immmsimmmsimsis
adus|afară|domnedzeu|pren|moisi adusafarădomnedzeuprenmoisi immsimmmsimmmmmmmsimmsimmms
israilteanii|den|ţara|eghipetului|dup-aceea|cumu israilteaniidenţaraeghipetuluidup-aceeacumu immmmmmmmmmsimsimmsimmmmmmmmmsimmmmmmmsimms
şi|cum|au şicumau isimsis
învins|pre|amalechiteani|cumu învinspreamalechiteanicumu immmmsimsimmmmmmmmmmmsimms
i-au|hrănit|cu|mană|în i-auhrănitcumanăîn immsimmmmsisimmsis
pustie|şi|le-au|dat|lor|legi pustieşile-audatlorlegi immmmsisimmmsimsimsimms
şi|cel|cort|şi|scule|bese|riceşti şicelcortşisculebesericeşti isimsimmsisimmmsimmsimmmmms
le-au|poruncit|a le-auporuncita immmsimmmmmmsc
face|şi|a|cinsti faceşiacinsti immsiscimmmms
domnedzeu|leviia|scrie|moisi|preuţiia domnedzeuleviiascriemoisipreuţiia immmmmmmsimmmmsimmmsimmmsimmmmmms
legiei|vechi|slujba|leviţilor|jirtvele|şi legieivechislujbaleviţilorjirtveleşi immmmsimmmsimmmmsimmmmmmmsimmmmmmsis
de|afară|cisla|în deafarăcislaîn isimmmsimmmsis
carea|moisi|proroc|scrie|mainte careamoisiprorocscriemainte immmsimmmsimmmmsimmmsimmmms
sama|şi|numărul|fiilor|lu|israil samaşinumărulfiilorluisrail immsisimmmmmsimmmmsisimmmms
fiilor|lu|israil fiilorluisrail immmmsisimmmms
în|pustine|şi|rîndul înpustineşirîndul isimmmmmsisimmmms
tabărului|şi|tremeaterea|iscodelor|în tabăruluişitremeatereaiscodelorîn immmmmmmsisimmmmmmmmmsimmmmmmmsis
fost|şi|isus|navin|cu|calev|scrie-se fostşiisusnavincucalevscrie-se immsisimmsimmmsisimmmsimmmmmms
încă|şi|multă încăşimultă immsisimmms
împutarea|lu|israil|în împutarealuisrailîn immmmmmmsisimmmmsis
aleanul|lu|domnedzeu|şi|lu aleanulludomnedzeuşilu immmmmsisimmmmmmmsisis
moisi|şi|pentru|aceaea|şi|bătăile moisişipentruaceaeaşibătăile immmsisimmmmsimmmmsisimmmmms
lu|valaam|prorocul luvalaamprorocul isimmmmsimmmmmms
numărul|sălaşelor|şi|locurelor numărulsălaşelorşilocurelor immmmmsimmmmmmmsisimmmmmmms
unde-au|descălecat|gloata|lu|israil unde-audescălecatgloataluisrail immmmmsimmmmmmmmsimmmmsisimmmms
în|cei|40|de|ani|oştirea încei40deanioştirea isimsisisimsimmmmms
lor|cu|păgînii|şi|tot|ce|se-au lorcupăgîniişitotcese-au imsisimmmmmsisimsisimmms
tîmplat|den|al tîmplatdenal immmmmsimsis
doilea|an|după|ieşitul doileaandupăieşitul immmmsisimmsimmmmms
lor|den|eghipt|pînă|la lordeneghiptpînăla imsimsimmmmsimmsis
moartea|lu|moisi|torozacon|în|care moartealumoisitorozaconîncare immmmmsisimmmsimmmmmmmsisimms
moisi|scrie|de|iznovă|toate|legile|şi moisiscriedeiznovătoatelegileşi immmsimmmsisimmmmsimmmsimmmmsis
poruncile|ce|au poruncileceau immmmmmmsisis
fost|dat|şi|poruncit fostdatşiporuncit immsimsisimmmmmms
domnedzeu|pre|moisi|părinţilor|a domnedzeupremoisipărinţilora immmmmmmsimsimmmsimmmmmmmmsc
fiilor|lu|israil|că|pentru|necredzuţiie fiilorluisrailcăpentrunecredzuţiie immmmsisimmmmsisimmmmsimmmmmmmmmms
toţi|căzură|şi|muriră|în|pustie|carii toţicăzurăşimurirăînpustiecarii immsimmmmsisimmmmsisimmmmsimmms
ieşise|den|eghipet ieşisedeneghipet immmmsimsimmmmms
şi|lu|moisi|fu-i şilumoisifu-i isisimmmsimms
iară|de|iznoavă|a|proceti iarădeiznoavăaproceti immsisimmmmmscimmmmms
fiilor|acelora|ce|domnedzeu|părinţilor|lor fiiloraceloracedomnedzeupărinţilorlor immmmsimmmmmsisimmmmmmmsimmmmmmmmsims
poruncise|cum|să|se|pomenească|pre|însă poruncisecumsăsepomeneascăpreînsă immmmmmmsimsisisimmmmmmmmsimsimms
să|ştie|leagea|domnului săştieleageadomnului isimmsimmmmsimmmmmms
după|aceaste|5|cărţi|a dupăaceaste5cărţia immsimmmmmscimmmsc
lu|moisi|noi|folosul|celor|proroci lumoisinoifolosulcelorproroci isimmmsimsimmmmmsimmmsimmmmms
mulţi|alalţi|nu|putum|scrie|ce|care mulţialalţinuputumscriececare immmsimmmmsisimmmsimmmsisimms
om|va|ceti-le omvaceti-le isisimmmmms
mai|dulci|vor|fi maidulcivorfi imsimmmsimsis
în|rostul|lui|decît|stredie înrostulluidecîtstredie isimmmmsimsimmmsimmmmms
psalom|catizma|17|ce|trebuiaşte|să psalomcatizma17cetrebuiaştesă immmmsimmmmmsisisimmmmmmmmsis
ştim|şi|să|înţeleagem|cum|într-aceaste|cărţi ştimşisăînţeleagemcumîntr-aceastecărţi immsisisimmmmmmmmsimsimmmmmmmmmmsimmms
a|prorocilor|bătrîni aprorocilorbătrîni cimmmmmmmmsimmmmms
şi|între|leage|noa şiîntreleagenoa isimmmsimmmsims
mare|usebitură|şi|alesătură|pentru mareusebiturăşialesăturăpentru immsimmmmmmmsisimmmmmmmsimmmms
aceaea|să|ştii|ce|e|usebeala aceaeasăştiiceeusebeala immmmsisimmsiscimmmmmms
între|ele|leagea|prorocilor|are|trei|părţi întreeleleageaprorociloraretreipărţi immmsimsimmmmsimmmmmmmmsimsimmsimmms
den|aceale|una denacealeuna imsimmmmsims
trebuiaşte|a|o|ţinea trebuiaşteaoţinea immmmmmmmsccimmms
cu|mare|grije|iară|doo cumaregrijeiarădoo isimmsimmmsimmsims
viie|noi|cu|iale|carele|sîmt|aceale viienoicuialecarelesîmtaceale immsimsisimmsimmmmsimmsimmmms
părţi|ce|dentîniu părţicedentîniu immmsisimmmmmms
ceale|10|den|acealea|se ceale10denacealease immmsisimsimmmmmsis
sfinţeaşte|întîniu|şi|proslăveaşte|numele|lui sfinţeaşteîntîniuşiproslăveaştenumelelui immmmmmmmsimmmmmsisimmmmmmmmmmsimmmmsims
domnedzeu|şi|viiaţă|sfîntă|oamenilor|carii|vor domnedzeuşiviiaţăsfîntăoamenilorcariivor immmmmmmsisimmmmsimmmmsimmmmmmmsimmmsims
lua|preţul|la luapreţulla imsimmmmsis
giudecată|mat|106|şi giudecatămat106şi immmmmmmsimsimsis
den|aceale|se|cunoşti|cine denacealesecunoşticine imsimmmmsisimmmmmsimms
slujaşte|lui|domnedzeu|şi|cine|iaste slujaşteluidomnedzeuşicineiaste immmmmmsimsimmmmmmmsisimmsimmms
în|mînie|lui|domnedzeu|pentru|aceaea|aceaea înmînieluidomnedzeupentruaceaeaaceaea isimmmsimsimmmmmmmsimmmmsimmmmsimmmms
parte|a|legiei|iaste|legile partealegieiiastelegile immmscimmmmsimmmsimmmms
după|toată|vina|şi|păcatul|se-au|giudecat dupătoatăvinaşipăcatulse-augiudecat immsimmmsimmsisimmmmmsimmmsimmmmmms
la|ishod|21|22 laishod2122 isimmmsisis
23|şi|aiurile|ce|acele 23şiaiurileceacele isisimmmmmsisimmms
noi|încă|nu|trebuiaşte|a|vie noiîncănutrebuiaşteavie imsimmsisimmmmmmmmscims
după|iale|că|hristos|dzice|ştiţi|că dupăialecăhristosdziceştiţică immsimmsisimmmmmsimmmsimmmsis
iaste|scris|în iastescrisîn immmsimmmsis
leage|«ochi|derept|ochi» leage«ochidereptochi» immmsimmmsimmmmsimmms
ce|între|voi|nu|fie ceîntrevoinufie isimmmsimsisims
aşa|a|treia|parte|a|legiei aşaatreiapartealegiei imscimmmsimmmscimmmms
sîmt|rîndurile|cortului|jidovesc|jirtvele|arsurilor|giungherilor sîmtrîndurilecortuluijidovescjirtvelearsurilorgiungherilor immsimmmmmmmsimmmmmmsimmmmmmsimmmmmmsimmmmmmmsimmmmmmmmmms
preuţilor|acele|încă|noi preuţiloraceleîncănoi immmmmmmsimmmsimmsims
nu|sem|legaţi|cătră|ele nusemlegaţicătrăele isimsimmmmsimmmsims
a|le|ţinea|să|aceale|toa aleţineasăacealetoa cisimmmsisimmmmsims
a|domnului|nostru adomnuluinostru cimmmmmmsimmmms
a|lu|isus|hristos aluisushristos cisimmsimmmmms
mai|dentîniu|slobodzie|izdrailteanilor|den maidentîniuslobodzieizdrailteanilorden imsimmmmmmsimmmmmmmsimmmmmmmmmmmmmsims
eghipet|aşa|fu|cum|mîncară|carnea eghipetaşafucummîncarăcarnea immmmmsimsisimsimmmmmsimmmms
mielului|aşa|se|slobodziră|den|robie|vedzi mieluluiaşaseslobodzirădenrobievedzi immmmmmsimsisimmmmmmmmsimsimmmsimmms
ion|botedzătoriul|arată ionbotedzătoriularată imsimmmmmmmmmmmsimmms
cu|deagetul|pre|hristos cudeagetulprehristos isimmmmmmsimsimmmmms
şi|dzice|cesta|e|mielul şidzicecestaemielul isimmmsimmmscimmmms
lu|domnedzeu|carele|va|lua|păcatele ludomnedzeucarelevaluapăcatele isimmmmmmmsimmmmsisimsimmmmmms
hristos|au|semnat hristosausemnat immmmmsisimmmms
cei|doi|sărafimi|den ceidoisărafimiden imsimsimmmmmmsims
scaunul|milostivniciei|pre|cei|2 scaunulmilostivnicieiprecei2 immmmmsimmmmmmmmmmmmsimsimsc
îngeri|de|la|groapă|au|semnat îngeridelagroapăausemnat immmmsisisimmmmsisimmmms
toate|slujbele|besearecii toateslujbelebesearecii immmsimmmmmmsimmmmmmmms
în|el|s-au|împlut înels-auîmplut isisimmsimmmms
cum|dzice|scriptura|capul|legiei cumdzicescripturacapullegiei imsimmmsimmmmmmmsimmmsimmmms
iaste|hristos|pentru|aceaea|noi|nu iastehristospentruaceaeanoinu immmsimmmmmsimmmmsimmmmsimsis
sem|legaţi|a|le|ţine|că|e semlegaţialeţinecăe imsimmmmscisimmsisc
hristos|capul|acelora hristoscapulacelora immmmmsimmmsimmmmms
dară|leage|veche|şi darăleagevecheşi immsimmmsimmmsis
cărţile|prorocilor|pentru|ce|trebuiaşte cărţileprorocilorpentrucetrebuiaşte immmmmsimmmmmmmmsimmmmsisimmmmmmmms
a|le|ceti|şi|a|le alecetişiale cisimmsiscis
ţinea|printru|multe|folosuri|şi|hasne|că ţineaprintrumultefolosurişihasnecă immmsimmmmmsimmmsimmmmmmsisimmmsis
cine|nu|va cinenuva immsisis
ceti|acealea|scripturi|nemică cetiacealeascripturinemică immsimmmmmsimmmmmmmsimmmms
şti|că|evanghelie|şi|apostolii|încă şticăevanghelieşiapostoliiîncă imsisimmmmmmmmsisimmmmmmmsimms
poţi|şti|cum|dzice poţişticumdzice immsimsimsimmms
hristos|la|luca|14|matei hristoslaluca14matei immmmmsisimmsisimmms
în|zilele|lu|elie|proroc|ceteaşte|şi înzileleluelieprorocceteaşteşi isimmmmsisimmsimmmmsimmmmmmsis
aiurea|mult|ce aiureamultce immmmsimmsis
mai|tare|neci|o maitarenecio imsimmsimmsc
slavă|a|lui|dumnedzeu|nu slavăaluidumnedzeunu immmscimsimmmmmmmsis
vei|şti|necitind|acolo|că-i|acolo veiştinecitindacolocă-iacolo imsimsimmmmmmsimmmsimmsimmms
tre|buiaşte|a|şti trebuiaşteaşti imsimmmmmscims
cum|cetind|să|nu|te cumcetindsănute imsimmmmsisisis
cumva|săblăzneşti|să|ştii|ce|săblaznă cumvasăblăzneştisăştiicesăblaznă immmsimmmmmmmmmsisimmsisimmmmmms
iaste|acolea|iaste|aceaea|cum|vei|ceti iasteacoleaiasteaceaeacumveiceti immmsimmmmsimmmsimmmmsimsimsimms
pătriiarhii|sfinţi|avraam pătriiarhiisfinţiavraam immmmmmmmmsimmmmsimmmms
mulţi|cum|au|ţinut|muieri mulţicumauţinutmuieri immmsimsisimmmsimmmms
mai|cîte|multe|de|una|şi maicîtemultedeunaşi imsimmsimmmsisimsis
cumva|să|nu|dzici|tu|că|nu cumvasănudzicitucănu immmsisisimmmsisisis
e|păcat|că epăcatcă cimmmsis
au|viat|ei|aşa auviateiaşa isimmsisims
cum|cînd|au|ei|viiat|aşa cumcîndaueiviiataşa imsimmsisisimmmsims
leage|lui|domnezeu|n-au|fost|dat|afară leageluidomnezeun-aufostdatafară immmsimsimmmmmmsimmsimmsimsimmms
cum|poţi|ceti cumpoţiceti imsimmsimms
scrise|în|bitie|iară|leagea scriseînbitieiarăleagea immmmsisimmmsimmsimmmms
iaste|dată|în|ishod|20|capete iastedatăînishod20capete immmsimmsisimmmsisimmmms
hiclenie|voastră|scrie|moisi|aceae hiclenievoastrăscriemoisiaceae immmmmmsimmmmmsimmmsimmmsimmms
ce|dentîniu|nu|fu|aşa|matei cedentîniunufuaşamatei isimmmmmmsisisimsimmms
78|derept|însă|oare|cum|au|viiat 78dereptînsăoarecumauviiat isimmmmsimmsimmsimsisimmms
jidovii|cu|muierile jidoviicumuierile immmmmsisimmmmmms
de|aceale|pilde|toate|să deacealepildetoatesă isimmmmsimmmsimmmsis
te|delungi|că|în|tîlcovanie|lu tedelungicăîntîlcovanielu isimmmmmsisisimmmmmmmmsis
sfînt|ion|zlatoust|pre|bitie|el|dzice sfîntionzlatoustprebitieeldzice immmsimsimmmmmmsimsimmmsisimmms
prin|aceaea|încă|au prinaceaeaîncăau immsimmmmsimmsis
ţinut|muieri|multe|unde|le-au ţinutmuierimulteundele-au immmsimmmmsimmmsimmsimmms
fost|făgăduit|pre|mesie|hristos|cum fostfăgăduitpremesiehristoscum immsimmmmmmsimsimmmsimmmmmsims
va|naşte|den|sămînţa|muieriei|ei|căuta vanaştedensămînţamuierieieicăuta isimmmsimsimmmmmsimmmmmmsisimmms
nască|mesie|ce|într-alt|chip nascămesieceîntr-altchip immmsimmmsisimmmmmmsimms
au|născut|hristos|în|mare|curăţie aunăscuthristosînmarecurăţie isimmmmsimmmmmsisimmsimmmmms
care|hristos|beseareca|sa|şi|nărodul|său carehristosbesearecasaşinărodulsău immsimmmmmsimmmmmmmsisisimmmmmsims
încă|curat|şi încăcuratşi immsimmmsis
sfînt|pofteaşte|dzicînd|sfinţi sfîntpofteaştedzicîndsfinţi immmsimmmmmmmsimmmmmsimmmms
fiţi|că|eu|sfînt|sînt fiţicăeusfîntsînt immsisisimmmsimms
şi|pavel|apostol|gice|cine|are şipavelapostolgicecineare isimmmsimmmmmsimmsimmsims
muiere|să|fie|în|domnul|ca|cela muieresăfieîndomnulcacela immmmsisimsisimmmmsisimms
inimă|trezvă|cum|pildele|bunilor inimătrezvăcumpildelebunilor immmsimmmmsimsimmmmmsimmmmms
pildele|răilor|să|vă|feriţi|să|nu pildelerăilorsăvăferiţisănu immmmmsimmmmsisisimmmmsisis
luaţi|mînie|lu luaţimînielu immmsimmmsis
domnedzeu|că|jidovii|cu domnedzeucăjidoviicu immmmmmmsisimmmmmsis
cei|dumnedzeu|aduse|de|fură|robi|în ceidumnedzeuadusedefurărobiîn imsimmmmmmmsimmmsisimmsimmsis
vavilon|70|de vavilon70de immmmmsisis
ani|a|do-ara|iară-i aniado-araiară-i imscimmmmsimmmms
pierdu|cu|oste|den|rim pierducuostedenrim immmmsisimmsimsims
cum|sosiră|pre|aceea|de|să cumsosirăpreaceeadesă imsimmmmsimsimmmsisis
vîndură|cîte|30|de|jidovi|într-un|ban vîndurăcîte30dejidoviîntr-unban immmmmsimmsisisimmmmsimmmmmsims
jidovesc|şi|cîte jidovescşicîte immmmmmsisimms
30|de|muieri|şi 30demuierişi isisimmmmsis
30|de|feate|şi|30 30defeateşi30 isisimmmsisis
cai|de|un|banu|jidovescu|prin|aceaea caideunbanujidovescuprinaceaea imsisisimmsimmmmmmmsimmsimmmms
să|ne|înfricoşedze săneînfricoşedze isisimmmmmmmmmms
lucrure|ca|acealea|şi lucrurecaacealeaşi immmmmsisimmmmmsis
alte|multe|să|nu|păţim altemultesănupăţim immsimmmsisisimmms
şi|noi|bătaie|în|trup|şi şinoibătaieîntrupşi isimsimmmmsisimmsis
în|suflet|ce|să|ispitim|cu|toată însufletcesăispitimcutoată isimmmmsisisimmmmmsisimmms
dzice|hristos|la|ion dzicehristoslaion immmsimmmmmsisims
17|deaca|vom|cunoaşte|voia 17deacavomcunoaştevoia isimmmsimsimmmmmmsimms
lui|domnedzeu|noi|să-l|cinstim|numai luidomnedzeunoisă-lcinstimnumai imsimmmmmmmsimsimmsimmmmmsimmms
cu|aceaea|cu|care|el|au|lăsat cuaceaeacucareelaulăsat isimmmmsisimmsisisimmms
nece|adaugem|neci neceadaugemneci immsimmmmmsimms
să|luom|cum|dzice săluomcumdzice isimmsimsimmms
la|torodzacon|12|că|e latorodzacon12căe isimmmmmmmmsisisc
urît|naintea|lui|altă|fără|numai urîtnaintealuialtăfărănumai immsimmmmmsimsimmsimmsimmms
ce|au|el|tocmit|matei|60|ce ceaueltocmitmatei60ce isisisimmmmsimmmsisis
tu|domnedzeu|pentru tudomnedzeupentru isimmmmmmmsimmmms
cel|drag|fiiul|tău celdragfiiultău imsimmsimmmsims
isus|înluminedză-ne|cu|duhul|sfînt isusînluminedză-necuduhulsfînt immsimmmmmmmmmmmmsisimmmsimmms
al|tău|amin|milostivu|şi|de altăuaminmilostivuşide isimsimmsimmmmmmmsisis
mişeei|greşiţi|şi|păcătoşi mişeeigreşiţişipăcătoşi immmmsimmmmmsisimmmmmms
nepotreabnici|robi|şi|viermi|slugile nepotreabnicirobişiviermislugile immmmmmmmmmmsimmsisimmmmsimmmmms
tale|ascultă-ne|milcuiala|această|puţinea|muncă taleascultă-nemilcuialaaceastăpuţineamuncă immsimmmmmmmmsimmmmmmmsimmmmmsimmmmmsimmms
şi|cu|folos şicufolos isisimmms
supt|sfînt|numele|tău suptsfîntnumeletău immsimmmsimmmmsims
cu|mila|lui|domnedzeu|şi cumilaluidomnedzeuşi isimmsimsimmmmmmmsis
cu|ajutoriul|fiiului|şi|cu|săvărşitul cuajutoriulfiiuluişicusăvărşitul isimmmmmmmsimmmmmsisisimmmmmmmms
duhului|sfînt|eu|tordaşi|mihaiu|ales|piscopul duhuluisfînteutordaşimihaiualespiscopul immmmmsimmmsisimmmmmsimmmmsimmsimmmmmms
românilor|în|ardeal românilorînardeal immmmmmmsisimmmms
şi|cu|herce|ştefan şicuherceştefan isisimmmsimmmms
propoveduitoriul|evangheliei|lu|hristos|în propoveduitoriulevanghelieiluhristosîn immmmmmmmmmmmmmsimmmmmmmmmsisimmmmmsis
oraşul|căvăran|şebeşului|zacan|efrem|dascalul oraşulcăvăranşebeşuluizacanefremdascalul immmmsimmmmmsimmmmmmmsimmmsimmmsimmmmmms
de|dăscălie|a|şebeşului|şi|cu|peştişel dedăscălieaşebeşuluişicupeştişel isimmmmmmscimmmmmmmsisisimmmmmms
moisi|propoveduitorul|evangheliei moisipropoveduitorulevangheliei immmsimmmmmmmmmmmmmsimmmmmmmmms
ţinum|într-una|pentru|jelanie|scriptureei|sfinte ţinumîntr-unapentrujelaniescriptureeisfinte immmsimmmmmmsimmmmsimmmmmsimmmmmmmmmsimmmms
că|vădzum|cum|toate|limbile|au|şi căvădzumcumtoatelimbileauşi isimmmmsimsimmmsimmmmmsisis
înfluresc|întru|cuvîntele înflurescîntrucuvîntele immmmmmmsimmmsimmmmmmms
slăvite|a|lui|domnedzeu slăvitealuidomnedzeu immmmmscimsimmmmmmms
numai|noi|românii|pre|limbă numainoiromâniiprelimbă immmsimsimmmmmsimsimmms
nu|avem|pentru|aceaea|cu|mare nuavempentruaceaeacumare isimmsimmmmsimmmmsisimms
muncă|scoasem|den|limbă|jidovească|şi|grecească muncăscoasemdenlimbăjidoveascăşigrecească immmsimmmmmsimsimmmsimmmmmmmmsisimmmmmmms
ale|lui|moisi|prorocul|şi aleluimoisiproroculşi imsimsimmmsimmmmmmsis
4|cărţi|ce|se|chemă|ţrstva 4cărţicesechemăţrstva cimmmsisisimmmsimmmms
voo|fraţilor|rumâni voofraţilorrumâni imsimmmmmmsimmmms
şi|cetiţi|şi|nu şicetiţişinu isimmmmsisis
judecareţi|necetind|mainte|că|veţi judecareţinecetindmaintecăveţi immmmmmmmsimmmmmmsimmmmsisimms
cu|adevăr|a|afla|mare|vistiiariu cuadevăraaflamarevistiiariu isimmmmscimmsimmsimmmmmmmms
sufletesc|noi|pentru|dragoste|lui|domnedzeu|am sufletescnoipentrudragosteluidomnedzeuam immmmmmmsimsimmmmsimmmmmmsimsimmmmmmmsis
ustenit|n-au|iară ustenitn-auiară immmmmsimmsimms
întors|mînă|de|înger întorsmînădeînger immmmsimmsisimmms
veţi|afla|ceva|greşit|pre|a veţiaflacevagreşitprea immsimmsimmsimmmmsimsc
ceriului|domnu|cum|că|el|fie|adevărătură ceriuluidomnucumcăelfieadevărătură immmmmmsimmmsimsisisimsimmmmmmmmms
că|nu|e cănue isisc
cu|voie|noastră|acea cuvoienoastrăacea isimmsimmmmmsimms
greşală|pentru|aceaea|cetind|toţi greşalăpentruaceaeacetindtoţi immmmmsimmmmsimmmmsimmmmsimms
vare|în|ce|mînă|va|sosi vareîncemînăvasosi immsisisimmsisimms
blagosloviţi|cum|şi|domnedzeu|să|blagoslovească|pre blagosloviţicumşidomnedzeusăblagosloveascăpre immmmmmmmmmsimsisimmmmmmmsisimmmmmmmmmmmmsims
voi|amin|den voiaminden imsimmsims
dzilele|lu|batăr|jigmon|voivodă dzilelelubatărjigmonvoivodă immmmmsisimmmsimmmmsimmmmms
a|nostre|ceaste|doo|de|întîniu|bitie anostreceastedoodeîntîniubitie cimmmmsimmmmsimsisimmmmmsimmms
şi|ishodul|celui şiishodulcelui isimmmmmsimmms
domn|de|steag|şi domndesteagşi immsisimmmsis
vestit|viteadz|ghesti|freanţi|alesu vestitviteadzghestifreanţialesu immmmsimmmmmsimmmmsimmmmmsimmms
hotnogiu|ardelului|şi|ţărîei|ungureşti|lăcuitoriu hotnogiuardeluluişiţărîeiungureştilăcuitoriu immmmmmsimmmmmmmsisimmmmsimmmmmmmsimmmmmmmms
în|deva|cum|aceaste|doo|cărţi|să îndevacumaceastedoocărţisă isimmsimsimmmmmsimsimmmsis
fie|părgă|pînă fiepărgăpînă imsimmmsimms
domnedzeu|va|şi|alalte domnedzeuvaşialalte immmmmmmsisisimmmms
lu|ghesti|freanţi|fu|cu|tot lughestifreanţifucutot isimmmmsimmmmmsisisims
agiutoriul|şi|le-au|scris|în|cheltuială|multă agiutoriulşile-auscrisîncheltuialămultă immmmmmmmsisimmmsimmmsisimmmmmmmmsimmms
şi|cu|alţi şicualţi isisimms
sine|şi|le-au|dăruit|voo sineşile-audăruitvoo immsisimmmsimmmmsims
fraţi|românilor|pentru|aceaea|rugaţi|pre fraţiromânilorpentruaceaearugaţipre immmsimmmmmmmsimmmmsimmmmsimmmmsims
domnedzeu|prentru|mărie|lui|den|mila|lui domnedzeuprentrumărieluidenmilalui immmmmmmsimmmmmsimmmsimsimsimmsims
domnedzeu|eu|şerban domnedzeueuşerban immmmmmmsisimmmms
tiparelor|şi|cu|marien|diiac tiparelorşicumariendiiac immmmmmmsisisimmmmsimmms
dîndu|în|mîna|noastră|ceaste|cărţi dînduînmînanoastrăceastecărţi immmsisimmsimmmmmsimmmmsimmms
cetind|şi|ne|plăcură|şi|le-am|scris cetindşineplăcurăşile-amscris immmmsisisimmmmmsisimmmsimmms
şi|le|cetiţi|că şilecetiţică isisimmmmsis
veţi|afla|întru|iale|mărgăritariu veţiaflaîntruialemărgăritariu immsimmsimmmsimmsimmmmmmmmmms
scumpu|şi|vistieriu|nesfîrşit|cunoaşte-veţi|folosul scumpuşivistieriunesfîrşitcunoaşte-veţifolosul immmmsisimmmmmmmsimmmmmmmsimmmmmmmmmmmsimmmmms
buneaţilor|şi|plata|păcatelor|de|la|domnedzeu buneaţilorşiplatapăcatelordeladomnedzeu immmmmmmmsisimmmsimmmmmmmsisisimmmmmmms
scrisu-se-au|ceaste|cărţi|sfinte scrisu-se-auceastecărţisfinte immmmmmmmmmsimmmmsimmmsimmmms
anii|7090|po|rojdestva|hristovo anii7090porojdestvahristovo immsimmsisimmmmmmmsimmmmmms
1582|meseţa|iule|14|în|cetate 1582meseţaiule14încetate immsimmmmsimmsisisimmmms
în|orăştie|1|cap|1început|făcu|domnedzeu înorăştie1cap1începutfăcudomnedzeu isimmmmmscimsimmmmmmsimmsimmmmmmms
2e|pămîntul|era|pustiiu 2epămîntulerapustiiu isimmmmmmsimsimmmmms
şi|în|deşert|şi|întunearec şiîndeşertşiîntunearec isisimmmmsisimmmmmmmms
era|spre|adînc|şi|duhul|domnului eraspreadîncşiduhuldomnului imsimmsimmmsisimmmsimmmmmms
se|purta|spre|apă|3şi|zise|domnedzeu sepurtaspreapă3şizisedomnedzeu isimmmsimmsimsimsimmsimmmmmmms
fu|lumină|4şi|vădzu fulumină4şivădzu isimmmmsimsimmms
domnedzeu|c-ară|fi|bună|lumina domnedzeuc-arăfibunălumina immmmmmmsimmmsisimmsimmmms
